t,N
5.0000,0.1058
5.2000,0.1011
5.4000,0.0981
5.6000,0.0955
5.8000,0.0913
6.0000,0.0889
6.2000,0.0864
6.4000,0.0848
6.6000,0.0844
6.8000,0.0814
7.0000,0.0792
7.2000,0.0775
7.4000,0.0747
7.6000,0.0751
7.8000,0.0735
8.0000,0.0721
8.2000,0.0700
8.4000,0.0689
8.6000,0.0709
8.8000,0.0674
9.0000,0.0670
9.2000,0.0659
9.4000,0.0641
9.6000,0.0650
9.8000,0.0634
10.0000,0.0625
10.2000,0.0618
10.4000,0.0615
10.6000,0.0613
10.8000,0.0595
11.0000,0.0582
11.2000,0.0590
11.4000,0.0580
11.6000,0.0606
11.8000,0.0581
12.0000,0.0594
12.2000,0.0596
12.4000,0.0573
12.6000,0.0576
12.8000,0.0560
13.0000,0.0591
13.2000,0.0590
13.4000,0.0572
13.6000,0.0565
13.8000,0.0563
14.0000,0.0538
14.2000,0.0559
14.4000,0.0568
14.6000,0.0541
14.8000,0.0532
15.0000,0.0565
